variant,symbol,gross_alpha_contribution,net_alpha_contribution,pct_of_variant_net_alpha,abs_pct_of_variant_net_alpha,fee_cost_total,slippage_cost_total,funding_cost_total,total_cost,holding_days,long_days,short_days,is_baseline_top5_positive_symbol
baseline_current_long_short,BYBIT:LPTUSDT.P,-0.02809722423357559,-0.03005925803357559,-0.10535073967561591,0.10535073967561591,4.4999999999999996e-05,6e-05,0.0018570338,0.0019620338,123,31,92,False
baseline_current_long_short,BYBIT:ALGOUSDT.P,-0.03367663369010572,-0.0325928569094239,-0.11423041712187183,0.11423041712187183,4.909090909090909e-05,6.545454545454546e-05,-0.001198322235227273,-0.0010837767806818183,186,0,186,False
baseline_current_long_short,BYBIT:JASMYUSDT.P,-0.0321664023786548,-0.0329939319786548,-0.11563609237712025,0.11563609237712025,2.6e-05,3.0000000000000004e-05,0.0007715296000000002,0.0008275296000000002,425,425,0,False
baseline_current_long_short,BYBIT:VETUSDT.P,-0.03694125173633874,-0.03751184232383874,-0.13147032208836598,0.13147032208836598,5.34375e-05,7.125000000000001e-05,0.00044590308750000013,0.0005705905875000002,184,154,30,False
baseline_current_long_short,BYBIT:BCHUSDT.P,-0.041097148286995296,-0.0377079526861836,-0.13215764350222148,0.13215764350222148,8.975e-05,0.000115,-0.003593945600811688,-0.003389195600811688,760,760,0,False
baseline_current_long_short,BYBIT:THETAUSDT.P,-0.03834559698988133,-0.03818763180086618,-0.13383880773729037,0.13383880773729037,6.766666666666667e-05,8.555555555555556e-05,-0.0003111874112373738,-0.00015796518901515155,363,91,272,False
baseline_current_long_short,BYBIT:DASHUSDT.P,-0.044749558568422526,-0.03886370776842253,-0.13620829746918636,0.13620829746918636,8.34375e-05,0.00011125000000000001,-0.0060805383000000005,-0.0058858508,399,91,308,False
baseline_current_long_short,BYBIT:HBARUSDT.P,-0.04728070704118545,-0.04801180631618546,-0.16827026478573665,0.16827026478573665,3.4437500000000004e-05,4.125e-05,0.0006554117750000002,0.0007310992750000002,546,516,30,False
short_only_unscaled,BYBIT:DOTUSDT.P,0.06912631432767258,0.07262569188737678,0.21529711476656366,0.21529711476656366,0.00010475,0.000135,-0.003739127559704185,-0.003499377559704185,669,0,669,True
short_only_unscaled,BYBIT:XTZUSDT.P,0.04546392554654073,0.04721812081519154,0.1399769821397973,0.1399769821397973,0.00012375,0.000165,-0.002042945268650794,-0.001754195268650794,581,0,581,False
short_only_unscaled,BYBIT:FLOWUSDT.P,0.048296376515856526,0.04511504031585653,0.13374245064189702,0.13374245064189702,1.1e-05,1e-05,0.0031603361999999998,0.0031813362,516,0,516,False
short_only_unscaled,BYBIT:LTCUSDT.P,0.037897551075880345,0.04076541111159463,0.12084807960534735,0.12084807960534735,0.00012732142857142857,0.00014642857142857141,-0.0031416100357142857,-0.0028678600357142855,124,0,124,True
short_only_unscaled,BYBIT:GALAUSDT.P,0.037119319632363784,0.03873415783236379,0.11482647817183958,0.11482647817183958,1.1e-05,1e-05,-0.0016358382000000002,-0.0016148382000000002,516,0,516,False
short_only_unscaled,BYBIT:EGLDUSDT.P,0.03453706001492959,0.03632560661492958,0.10768638608589817,0.10768638608589817,1.1e-05,1e-05,-0.0018095466000000004,-0.0017885466000000004,516,0,516,False
short_only_unscaled,BYBIT:SANDUSDT.P,0.031119522454638233,0.03217139765463823,0.09537133365686114,0.09537133365686114,1.1e-05,1e-05,-0.0010728752000000003,-0.0010518752000000004,516,0,516,False
short_only_unscaled,BYBIT:MANAUSDT.P,0.0282576837779181,0.0294900461779181,0.08742253177132277,0.08742253177132277,1.1e-05,1e-05,-0.0012533624000000002,-0.0012323624000000002,516,0,516,False
short_only_unscaled,BYBIT:ADAUSDT.P,0.01860064167243873,0.02317381133342358,0.06869820567035427,0.06869820567035427,8.75e-05,0.000109375,-0.004770044660984849,-0.004573169660984849,245,0,245,False
short_only_unscaled,BYBIT:WOOUSDT.P,0.021023381462483687,0.021504059262483687,0.06374826586384157,0.06374826586384157,1.1e-05,1e-05,-0.0005016778,-0.0004806778,119,0,119,False
short_only_unscaled,BYBIT:1INCHUSDT.P,0.017629058997076702,0.018965305197076704,0.05622219057038181,0.05622219057038181,1.1e-05,1e-05,-0.0013572462000000004,-0.0013362462000000004,485,0,485,False
short_only_unscaled,BYBIT:OPUSDT.P,0.01765149199757827,0.017755470597578267,0.05263566503310086,0.05263566503310086,2.9999999999999997e-05,4e-05,-0.00017397860000000008,-0.00010397860000000008,213,0,213,False
short_only_unscaled,BYBIT:APTUSDT.P,0.01921310448059061,0.017555053880590612,0.05204153450164455,0.05204153450164455,1.1e-05,1e-05,0.0016370506000000001,0.0016580506,181,0,181,False
short_only_unscaled,BYBIT:KAVAUSDT.P,0.016189081035508406,0.015910725235508405,0.047166961828888444,0.047166961828888444,1.1e-05,1e-05,0.0002573557999999998,0.0002783557999999998,267,0,267,False
short_only_unscaled,BYBIT:ETCUSDT.P,0.01358988293278316,0.014808108748078976,0.043898281803013736,0.043898281803013736,4.4480519480519474e-05,4.8701298701298694e-05,-0.0013114076334776335,-0.0012182258152958153,124,0,124,False
short_only_unscaled,BYBIT:DYDXUSDT.P,0.012734454297574986,0.014790143385074984,0.04384502391699605,0.04384502391699605,1.94375e-05,2.125e-05,-0.0020963765875,-0.0020556890875,546,0,546,False
short_only_unscaled,BYBIT:SNXUSDT.P,0.013110552296147483,0.013110667296147483,0.038866257493314356,0.038866257493314356,1.1e-05,1e-05,-2.1115000000000224e-05,-1.1500000000022167e-07,454,0,454,False
short_only_unscaled,BYBIT:ONEUSDT.P,0.012010466965882365,0.012654882565882365,0.03751509463578305,0.03751509463578305,1.1e-05,1e-05,-0.0006654156000000001,-0.0006444156000000002,119,0,119,False
short_only_unscaled,BYBIT:FILUSDT.P,0.01002324980711619,0.012520265706412728,0.037116026197472084,0.037116026197472084,4.9571428571428566e-05,6.142857142857142e-05,-0.002608015899296537,-0.002497015899296537,669,0,669,False
short_only_unscaled,BYBIT:ENJUSDT.P,0.011951436537963111,0.012485281737963112,0.037012317065420484,0.037012317065420484,1.1e-05,1e-05,-0.0005548452000000001,-0.0005338452000000001,56,0,56,False
short_only_unscaled,BYBIT:SUSHIUSDT.P,0.011857936570486866,0.012131371770486867,0.03596315948902282,0.03596315948902282,1.1e-05,1e-05,-0.0002944352,-0.0002734352,88,0,88,False
short_only_unscaled,BYBIT:ROSEUSDT.P,0.010596277568415,0.011596936768414997,0.034378839794626415,0.034378839794626415,1.1e-05,1e-05,-0.0010216592000000001,-0.0010006592000000002,176,0,176,False
short_only_unscaled,BYBIT:CROUSDT.P,0.00986995348086189,0.011013651280861889,0.03264970401234522,0.03264970401234522,1.4999999999999999e-05,2e-05,-0.0011786978,-0.0011436978,122,0,122,False
short_only_unscaled,BYBIT:APEUSDT.P,0.010045434138993422,0.010120053738993424,0.030000655617389908,0.030000655617389908,1.1e-05,1e-05,-9.561960000000017e-05,-7.461960000000018e-05,395,0,395,False
short_only_unscaled,BYBIT:ANKRUSDT.P,0.009563322715422986,0.009857626515422985,0.029222696432387833,0.029222696432387833,2.9999999999999997e-05,4e-05,-0.00036430380000000007,-0.00029430380000000005,61,0,61,False
short_only_unscaled,BYBIT:ARUSDT.P,0.009029650172467471,0.009411385372467471,0.027899825309625356,0.027899825309625356,4.0999999999999994e-05,5e-05,-0.0004727352000000002,-0.0003817352000000002,275,0,275,False
short_only_unscaled,BYBIT:IMXUSDT.P,0.006139390981389632,0.0065230797813896286,0.019337512935548303,0.019337512935548303,4.0999999999999994e-05,5e-05,-0.0004746888000000001,-0.0003836888000000001,184,0,184,False
short_only_unscaled,BYBIT:CTCUSDT.P,0.006151615861787847,0.005762412461787846,0.01708253298353019,0.01708253298353019,1.4999999999999999e-05,2e-05,0.0003542034,0.0003892034,60,0,60,False
short_only_unscaled,BYBIT:MINAUSDT.P,0.004977527578703911,0.005611052378703911,0.01663382966199305,0.01663382966199305,1.1e-05,1e-05,-0.0006545248000000001,-0.0006335248000000002,150,0,150,False
short_only_unscaled,BYBIT:ICPUSDT.P,0.005303610996486358,0.0055933741783045395,0.01658142306260186,0.01658142306260186,2.5e-05,2.272727272727273e-05,-0.0003374904545454546,-0.00028976318181818183,32,0,32,False
short_only_unscaled,BYBIT:XCNUSDT.P,0.011686132078148993,0.0053350032781489904,0.01581548875068657,0.01581548875068657,1.4999999999999999e-05,2e-05,0.0063161288,0.0063511288,277,0,277,False
short_only_unscaled,BYBIT:CELOUSDT.P,0.004806060426246506,0.0050991408262465055,0.01511628019161192,0.01511628019161192,1.1e-05,1e-05,-0.0003140804000000001,-0.00029308040000000006,113,0,113,False
